config_id,lr_stage1,lr_stage2,initial_bound,success_rate,num_successes,mean_final_loss,std_final_loss,min_final_loss,num_infinite_losses,mean_perturbation,max_perturbation,execution_time,avg_success_iteration,first_success_iteration
lr1_0_0001_lr2_0_001_bound_0_005,0.0001,0.001,0.005,0.0,0,inf,0.0,inf,10,0.0,0.0,56.54566717147827,-1,-1
lr1_0_0001_lr2_0_001_bound_0_01,0.0001,0.001,0.01,0.0,0,inf,0.0,inf,10,0.0,0.0,59.36113953590393,-1,-1
lr1_0_0005_lr2_0_001_bound_0_005,0.0005,0.001,0.005,0.0,0,14.439437866210938,,14.439437866210938,9,0.00031836554408073,0.005000002682209,66.806631565094,-1,-1
lr1_0_0005_lr2_0_001_bound_0_01,0.0005,0.001,0.01,0.0,0,26.59213161468506,13.049652895451464,17.364633560180664,8,0.0010176346171647198,0.010000005364418,67.62833428382874,-1,-1
