config_id,lr_stage1,lr_stage2,initial_bound,success_rate,num_successes,mean_final_loss,std_final_loss,min_final_loss,num_infinite_losses,mean_perturbation,max_perturbation,execution_time,convergence_rate,convergence_std,divergence_ratio,total_loss_change,initial_loss,final_checkpoint_loss,plateaued,avg_success_iteration,first_success_iteration
lr1_0_01_lr2_0_001_bound_0_1,0.01,0.001,0.1,0.0,0,24.927827835083008,11.27201730993891,13.750772476196287,2,0.04539291486144061,0.1000000238418579,94.93469476699829,8.22680252790451,3.797195851802826,1.0,16.45360505580902,9.992183566093445,26.445788621902466,False,-1,-1
lr1_0_01_lr2_0_001_bound_0_15,0.01,0.001,0.15,0.0,0,26.58454758780343,12.077767021054353,17.680397033691406,3,0.056135993450880016,0.1500000059604644,95.24127697944641,8.952173701354436,5.059756883553096,1.0,17.904347402708872,9.992183566093445,27.896530968802317,False,-1,-1
lr1_0_01_lr2_0_01_bound_0_1,0.01,0.01,0.1,0.0,0,23.780108332633972,10.856618883380037,12.217877388000488,2,0.04560684449970719,0.1000000238418579,106.65142250061035,8.36779659986496,4.17584627866745,1.0,16.73559319972992,9.992183566093445,26.727776765823364,False,-1,-1
lr1_0_01_lr2_0_01_bound_0_15,0.01,0.01,0.15,0.0,0,26.375909124101913,13.69837661753919,15.521414756774902,3,0.056010803580284096,0.1500000059604644,94.74374914169312,8.520908210958753,4.5822437064988275,1.0,17.041816421917506,9.992183566093445,27.03399998801095,False,-1,-1
lr1_0_05_lr2_0_001_bound_0_1,0.05,0.001,0.1,0.0,0,11.491418719291687,0.8940420507974582,10.218498229980469,2,0.048087005689740135,0.1000000238418579,88.41447949409485,0.7737520933151245,0.6161867380142212,1.0,1.547504186630249,9.992183566093445,11.539687752723694,False,-1,-1
lr1_0_05_lr2_0_001_bound_0_15,0.05,0.001,0.15,0.0,0,13.656255841255188,2.9913899500606185,11.38910675048828,2,0.0691807515919208,0.1500000059604644,115.23114156723022,1.6595408916473389,1.7771942615509033,0.5,3.3190817832946777,9.992183566093445,13.311265349388123,False,-1,-1
lr1_0_05_lr2_0_01_bound_0_1,0.05,0.01,0.1,0.0,0,11.258206685384115,1.1552828501548034,9.774128913879396,4,0.036148592829704264,0.1000000238418579,96.55702590942383,,,,,,,,-1,-1
lr1_0_05_lr2_0_01_bound_0_15,0.05,0.01,0.15,0.0,0,12.611503328595843,0.869130501693428,11.384212493896484,3,0.06051699370145793,0.1500000059604644,96.68440198898315,1.4164323040417264,1.187045293194907,1.0,2.8328646080834528,9.992183566093445,12.825048174176898,False,-1,-1
lr1_0_1_lr2_0_001_bound_0_1,0.1,0.001,0.1,0.0,0,10.232614994049072,0.7088852121768378,9.461469650268556,2,0.05337222889065739,0.1000000238418579,89.30560231208801,0.14928138256072998,0.2072986364364624,0.5,0.29856276512145996,9.992183566093445,10.290746331214905,False,-1,-1
lr1_0_1_lr2_0_001_bound_0_15,0.1,0.001,0.15,0.0,0,10.614883542060852,0.8479715330790764,9.183627128601074,2,0.07997198104858393,0.1500000059604644,95.03422355651855,0.46617627143859863,0.6562820672988892,0.5,0.9323525428771973,9.992183566093445,10.924536108970642,False,-1,-1
lr1_0_1_lr2_0_01_bound_0_1,0.1,0.01,0.1,0.0,0,10.213554518563408,0.7084501192561757,9.358951568603516,3,0.04654708579182622,0.1000000238418579,82.78824973106384,0.08361720187323396,0.22734821694237883,0.5,0.16723440374646792,9.992183566093445,10.159417969839913,False,-1,-1
lr1_0_1_lr2_0_01_bound_0_15,0.1,0.01,0.15,0.0,0,11.007967267717634,1.0167434952031673,9.990179061889648,3,0.06995014473795888,0.1500000059604644,88.44738483428955,0.5053445867129733,0.14647285427365997,1.0,1.0106891734259467,9.992183566093445,11.002872739519391,False,-1,-1
