config_id,lr_stage1,lr_stage2,initial_bound,success_rate,num_successes,mean_final_loss,std_final_loss,min_final_loss,num_infinite_losses,mean_perturbation,max_perturbation,execution_time,avg_success_iteration,first_success_iteration,convergence_rate,convergence_std,divergence_ratio,total_loss_change,initial_loss,final_checkpoint_loss,plateaued
lr1_0_001_lr2_0_001_bound_0_05,0.001,0.001,0.05,0.0,0,42.14471435546875,0.09334077093574253,42.078712463378906,8,0.0022754640318453203,0.0500000119209289,75.99874925613403,-1,-1,,,,,,,
lr1_0_001_lr2_0_001_bound_0_1,0.001,0.001,0.1,0.0,0,42.2830810546875,,42.2830810546875,9,0.00112150674685835,0.098000019788742,75.41885828971863,-1,-1,,,,,,,
lr1_0_001_lr2_0_001_bound_0_15,0.001,0.001,0.15,0.0,0,26.13014856974284,14.1035538828635,17.969017028808594,7,0.0034995868802070508,0.1040000319480896,79.13675856590271,-1,-1,,,,,,,
lr1_0_005_lr2_0_001_bound_0_05,0.005,0.001,0.05,0.0,0,26.38330364227295,7.40947790160667,16.72909927368164,4,0.01720577906817195,0.0500000119209289,89.42603182792664,-1,-1,9.292366246382395,1.4865051366034,1.0,18.58473249276479,9.992183566093445,28.576916058858234,False
lr1_0_005_lr2_0_001_bound_0_1,0.005,0.001,0.1,0.0,0,33.74568843841553,13.941381353905697,17.97977066040039,4,0.028540926054120043,0.1000000238418579,84.85822176933289,-1,-1,12.593991180260975,3.8038265506426505,1.0,25.18798236052195,9.992183566093445,35.180165926615395,False
lr1_0_005_lr2_0_001_bound_0_15,0.005,0.001,0.15,0.0,0,32.74235153198242,15.514675039132554,15.279743194580078,2,0.042265178263187375,0.1500000059604644,98.79062867164612,-1,-1,12.5034698843956,4.842486083507538,1.0,25.0069397687912,9.992183566093445,34.999123334884644,False
lr1_0_01_lr2_0_001_bound_0_05,0.01,0.001,0.05,0.0,0,15.744130270821708,1.7503150911973628,14.286458015441896,3,0.01984482780098912,0.0500000119209289,90.82323050498962,-1,-1,2.6087530595915656,2.540956165109362,1.0,5.217506119183131,9.992183566093445,15.209689685276576,False
lr1_0_01_lr2_0_001_bound_0_1,0.01,0.001,0.1,0.0,0,26.363919258117676,11.124429454231263,15.47914695739746,2,0.04557736776769157,0.1000000238418579,116.05059456825256,-1,-1,8.292024612426758,5.077003836631775,1.0,16.584049224853516,9.992183566093445,26.57623279094696,False
lr1_0_01_lr2_0_001_bound_0_15,0.01,0.001,0.15,0.0,0,27.400912761688232,11.866224310178737,16.28090476989746,2,0.0639527633786201,0.1500000059604644,93.69083619117737,-1,-1,9.075904905796051,4.713059365749359,1.0,18.151809811592102,9.992183566093445,28.143993377685547,False
lr1_0_05_lr2_0_001_bound_0_05,0.05,0.001,0.05,0.0,0,10.378153642018637,0.7041223915688706,9.969146728515623,4,0.019956219196319548,0.0500000119209289,84.04390788078308,-1,-1,,,,,,,
lr1_0_05_lr2_0_001_bound_0_1,0.05,0.001,0.1,0.0,0,11.470668111528669,1.073862653135078,9.679047584533691,3,0.042122006416320766,0.1000000238418579,114.65040922164917,-1,-1,0.8141093850135803,0.7401324595723828,1.0,1.6282187700271606,9.992183566093445,11.620402336120605,False
lr1_0_05_lr2_0_001_bound_0_15,0.05,0.001,0.15,0.0,0,14.599902470906576,3.7277857269611943,11.864482879638672,4,0.05196811184287069,0.1500000059604644,97.67271399497986,-1,-1,1.8338620464007063,2.1327637632687884,0.5,3.6677240928014125,9.992183566093445,13.659907658894857,False
lr1_0_1_lr2_0_001_bound_0_05,0.1,0.001,0.05,0.0,0,9.838402339390345,0.7319130334287149,9.062993049621582,3,0.03499999195337291,0.0500000119209289,79.04066872596741,-1,-1,-0.077115884849003,0.1971826638494223,0.5,-0.154231769698006,9.992183566093445,9.837951796395439,False
lr1_0_1_lr2_0_001_bound_0_1,0.1,0.001,0.1,0.0,0,10.35127079486847,0.7413044357344517,9.389586448669434,2,0.0530497662723064,0.1000000238418579,84.63067889213562,-1,-1,0.18024295568466187,0.12183588743209839,1.0,0.36048591136932373,9.992183566093445,10.352669477462769,False
lr1_0_1_lr2_0_001_bound_0_15,0.1,0.001,0.15,0.0,0,10.961472988128662,1.2705301729928569,9.281649589538574,2,0.07999635562300679,0.1500000059604644,55.56386375427246,-1,-1,0.4915587902069092,0.31256020069122314,1.0,0.9831175804138184,9.992183566093445,10.975301146507263,False
